customerFK,recency,frequency,monetary_total,monetary_trend,churn,churn_probability,segment
396,323,2,100.0,0.9999999999800001,1,0.9844784590865884,3
233,148,2,99.8,0.99999999997996,1,0.983889160649597,1
295,217,2,99.8,0.99999999997996,1,0.983889160649597,1
320,238,3,285.0,0.9999999999894736,1,0.9752993428016968,2
353,275,3,285.0,0.9999999999894736,1,0.9752993428016968,2
225,142,3,285.0,0.9999999999894736,1,0.9752993428016968,2
268,185,3,285.0,0.9999999999894736,1,0.9752993428016968,2
195,124,2,80.0,0.9999999999750001,1,0.9735995641854784,1
349,268,3,300.0,0.99999999999,1,0.9734773149319095,2
212,135,3,300.0,0.99999999999,1,0.9734773149319095,2
386,321,3,300.0,0.99999999999,1,0.9734773149319095,2
251,165,3,300.0,0.99999999999,1,0.9734773149319095,2
418,324,3,300.0,0.99999999999,1,0.9734773149319095,2
289,207,3,300.0,0.99999999999,1,0.9734773149319095,2
185,115,2,40.0,0.99999999995,1,0.9688891644965235,3
469,649,3,87.0,0.9999999999655173,1,0.9660809235308118,3
182,107,4,376.0,0.9999999999893616,1,0.9658112716659345,0
201,129,4,376.0,0.9999999999893616,1,0.9658112716659345,0
301,221,3,300.0,0.99999999999,1,0.9645241202315448,2
47,682,4,72.0,0.9999999999444444,1,0.962173330414286,3
260,176,4,380.0,0.9999999999894736,1,0.9524553403702193,0
425,328,4,396.0,0.999999999989899,1,0.9503263430025474,0
383,317,7,400.0,0.6533333333219,1,0.9499688483061058,0
307,226,4,380.0,0.9999999999894736,1,0.943250195326289,0
312,230,4,380.0,0.9999999999894736,1,0.943250195326289,0
419,324,4,380.0,0.9999999999894736,1,0.943250195326289,0
429,333,4,396.0,0.999999999989899,1,0.9273620070011351,0
430,338,3,270.0,0.9999999999888889,1,0.9271559347451079,2
249,158,3,273.0,0.9999999999890109,1,0.9271559347451079,2
331,253,3,270.0,0.9999999999888889,1,0.9271559347451079,2
250,165,3,309.0,0.9999999999902912,1,0.9197830278511502,2
347,268,3,300.0,0.99999999999,1,0.9127311134772684,2
357,278,3,300.0,0.99999999999,1,0.9127311134772684,2
345,266,3,300.0,0.99999999999,1,0.9127311134772684,2
222,137,3,224.70000000000002,0.9999999999866488,1,0.9085686556533885,2
348,268,5,1335.0,0.9999999999962548,1,0.8995645857004186,0
367,302,3,774.0,0.9999999999961241,1,0.8981252520793374,2
361,288,5,454.70000000000005,0.9335825819118805,1,0.8978870045364622,2
235,149,4,396.0,0.999999999989899,1,0.8969366193587208,0
267,184,4,395.6,0.9999999999898889,1,0.8969366193587208,0
431,338,3,270.0,0.9999999999888889,1,0.8920594724146027,2
239,150,3,270.0,0.9999999999888889,1,0.8920594724146027,2
240,151,4,396.0,0.999999999989899,1,0.8909634950909167,0
309,228,5,1125.0,0.9999999999955556,1,0.8893073900063694,0
275,196,3,300.0,0.99999999999,1,0.8879011906518727,2
219,136,3,300.0,0.99999999999,1,0.8879011906518727,2
272,191,3,300.0,0.99999999999,1,0.8879011906518727,2
337,255,3,480.0,0.9999999999937501,1,0.8852294250447185,2
373,306,3,468.0,0.9999999999935898,1,0.8850138956051574,2
453,457,3,330.0,0.999999999990909,1,0.8832559534582038,2
227,143,3,330.0,0.999999999990909,1,0.8832559534582038,2
206,131,3,300.0,0.99999999999,1,0.8823153135942872,2
188,120,3,264.0,0.9999999999886363,1,0.8810669071053971,2
171,94,3,240.0,0.9999999999875,1,0.8801814272825633,2
184,114,4,380.0,0.9824561403405354,1,0.8747428560058208,1
463,551,5,845.0,0.999999999994083,1,0.8693753162834971,0
230,145,5,230.0,0.7971014492580341,1,0.8685419685917146,2
379,310,2,50.0,0.99999999996,1,0.8682523968567324,3
397,323,2,50.0,0.99999999996,1,0.8682523968567324,3
392,323,2,50.0,0.99999999996,1,0.8682523968567324,3
381,313,2,50.0,0.99999999996,1,0.8682523968567324,3
387,322,2,50.0,0.99999999996,1,0.8682523968567324,3
388,322,2,50.0,0.99999999996,1,0.8682523968567324,3
390,323,2,50.0,0.99999999996,1,0.8682523968567324,3
399,323,2,50.0,0.99999999996,1,0.8682523968567324,3
398,323,2,50.0,0.99999999996,1,0.8682523968567324,3
400,323,2,50.0,0.99999999996,1,0.8682523968567324,3
117,32,2,50.0,0.99999999996,0,0.8682523968567324,1
303,224,2,50.0,0.99999999996,1,0.8682523968567324,3
150,72,2,50.0,0.99999999996,0,0.8682523968567324,1
304,224,2,50.0,0.99999999996,1,0.8682523968567324,3
402,323,2,50.0,0.99999999996,1,0.8682523968567324,3
403,323,2,50.0,0.99999999996,1,0.8682523968567324,3
410,323,2,50.0,0.99999999996,1,0.8682523968567324,3
411,323,2,50.0,0.99999999996,1,0.8682523968567324,3
412,323,2,50.0,0.99999999996,1,0.8682523968567324,3
407,323,2,50.0,0.99999999996,1,0.8682523968567324,3
415,324,2,50.0,0.99999999996,1,0.8682523968567324,3
414,323,2,50.0,0.99999999996,1,0.8682523968567324,3
421,325,2,50.0,0.99999999996,1,0.8682523968567324,3
432,339,3,237.0,0.9999999999873417,1,0.8664077303194893,2
341,261,3,462.0,0.9999999999935065,1,0.8507468446708788,2
252,168,3,402.0,0.9999999999925374,1,0.8485198372077052,2
245,151,3,402.0,0.9999999999925374,1,0.8485198372077052,2
446,374,3,312.0,0.9999999999903846,1,0.846845120358511,2
217,135,3,315.0,0.9999999999904762,1,0.8442304382058287,2
378,310,3,255.0,0.9999999999882353,1,0.8432241519454452,2
449,403,2,140.0,0.9999999999857142,1,0.8429720445493429,3
452,421,2,140.0,0.9999999999857142,1,0.8429720445493429,3
99,22,3,270.0,0.9999999999888889,0,0.8400015131807035,2
265,182,7,756.0,0.9999999999907407,1,0.8398549113144825,0
356,278,4,1232.0,0.9999999999967533,1,0.8392555595483493,0
282,204,5,475.0,0.9999999999894736,1,0.8343760651922392,0
372,306,2,344.0,0.9999999999941861,1,0.8338012034173787,1
244,151,3,234.0,0.9999999999871795,1,0.8303406622010404,2
274,192,5,499.5,0.9999999999899901,1,0.8200260489401159,0
376,307,2,516.0,0.9999999999961241,1,0.8199024432008869,1
368,302,2,516.0,0.9999999999961241,1,0.8199024432008869,1
328,244,3,299.70000000000005,0.99999999998999,1,0.816771891784246,2
187,119,3,195.0,0.9999999999846153,1,0.8106188522397754,2
318,235,3,224.70000000000002,0.9999999999866488,1,0.8100142082445256,2
461,530,3,225.0,0.9999999999866667,1,0.8093949870912002,2
229,144,3,225.0,0.9999999999866667,1,0.8093949870912002,2
460,521,3,225.0,0.9999999999866667,1,0.8093949870912002,2
416,324,4,600.0,0.9999999999933334,1,0.808686322712603,0
326,242,4,436.0,0.9999999999908257,1,0.8067881712051884,0
