product,category,avg_price,nb_concurrents,confidence_score,product_score,feat_cat_popularity,feat_concurrent_coverage,niveau_recommandation,cat_score
q-handmade decorated ceramic bowl,handcrafted ceramics,15.6,1,0.995,0.8320590006335638,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-artisan wall tiles – ceramic,handcrafted ceramics,15.6,1,0.995,0.8320590006335638,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade decorated ceramic dinner plate,handcrafted ceramics,15.6,1,0.995,0.8320590006335638,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade ceramic trivets,handcrafted ceramics,15.6,1,0.995,0.8320590006335638,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-ceramic decorated bowl,handcrafted ceramics,15.6,1,0.995,0.8320590006335638,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade ceramic bowl,handcrafted ceramics,15.6,1,0.995,0.8320590006335638,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-bowls nabeul ceramics handmade,handcrafted ceramics,16.38,1,0.99,0.8319211700027019,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-white & black decorated ceramic plate,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-blue ceramic oval plate,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-floral ceramic champagne glass,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade ceramics blue octogonal dish,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade deep ceramic bowl,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
q-handmade ceramics bowl,handcrafted ceramics,15.6,1,0.99,0.8308090006335637,0.5368852459016393,1.0,Priorite haute,0.7973638311850832
