customerFK,recency,frequency,monetary_total,churn_probability,segment_name
3654,150,4,380.0,0.99,High-Value Buyers
3703,204,5,500.0,0.98,High-Value Buyers
3587,97,4,340.0,0.98,High-Value Buyers
3604,121,3,282.0,0.98,Regular Buyers
3608,124,2,168.0,0.98,Active Loyal
3615,129,4,376.0,0.98,High-Value Buyers
3691,192,5,499.5,0.98,High-Value Buyers
3601,119,3,195.0,0.98,Regular Buyers
2701,262,1,150.0,0.98,Lost Customers
3918,277,5,550.0,0.98,High-Value Buyers
3619,130,3,255.0,0.98,Regular Buyers
3863,347,5,500.0,0.98,High-Value Buyers
3628,135,3,299.70000000000005,0.98,Regular Buyers
3620,131,3,300.0,0.98,Regular Buyers
3632,135,3,315.0,0.97,Regular Buyers
3639,139,2,199.6,0.97,Active Loyal
3737,114,4,380.0,0.97,Regular Buyers
3634,136,3,300.0,0.97,Regular Buyers
3626,117,4,400.0,0.97,Regular Buyers
3597,111,2,130.0,0.97,Active Loyal
3606,123,4,400.0,0.97,High-Value Buyers
3586,96,4,399.6,0.96,High-Value Buyers
3730,99,4,160.0,0.96,Active Loyal
3596,107,4,376.0,0.96,High-Value Buyers
3736,232,5,775.0,0.96,High-Value Buyers
3581,91,2,96.0,0.95,Active Loyal
3609,124,2,80.0,0.95,Active Loyal
3612,126,4,460.0,0.95,High-Value Buyers
3603,121,3,372.0,0.95,Regular Buyers
3584,94,2,180.0,0.94,Active Loyal
3590,100,3,288.0,0.94,Regular Buyers
3621,132,3,405.0,0.94,Regular Buyers
3582,91,3,300.0,0.94,Regular Buyers
3839,137,6,435.0,0.93,High-Value Buyers
3589,100,3,270.0,0.91,Regular Buyers
3607,123,5,500.0,0.89,High-Value Buyers
3592,101,4,740.0,0.87,High-Value Buyers
3633,136,4,620.0,0.85,High-Value Buyers
3617,129,2,192.0,0.84,Active Loyal
3583,94,6,600.0,0.74,High-Value Buyers
