product,category,avg_price,nb_concurrents,confidence_score,product_score,feat_cat_popularity,feat_concurrent_coverage,niveau_recommandation,cat_score
a-broche flamant,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-collier éléphant,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles anneaux,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles d'oreille topaze,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-parure mahboub,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-parure anneaux,bijoux,65.0,1,1.0,0.9401631721268972,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles d'oreille filigrane,bijoux,70.0,1,0.99,0.9393230179948729,1.0,1.0,Priorite haute,0.8390456193049876
a-accessoires cheveux,bijoux,110.0,1,0.98,0.9389460629112913,1.0,1.0,Priorite haute,0.8390456193049876
a-collier plume,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-collier poisson,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-collier poisson doré,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles stylisées,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles d'oreille argent,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-bague crayons,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-collier papillon,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-collier laine chechias,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-collier kholkhal fashion,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-collier anneaux sousse,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-parure bois,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-collier berbère,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
a-bracelet bois marbre,bijoux,60.0,1,1.0,0.938635245939061,1.0,1.0,Priorite haute,0.8390456193049876
