product,category,avg_price,nb_concurrents,nb_occurrences,cat_total_products,cat_avg_price,cat_nb_concurrents,feat_cat_popularity,feat_price_distance,feat_occurrence_score,feat_concurrent_coverage,predicted_category,confidence_score,correct_prediction,cat_score,feat_price_attractiveness,product_score,niveau_recommandation
a-bracelet perle,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-broche flamant,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-collier éléphant,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-boucles anneaux,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-boucles d'oreille topaze,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-parure mahboub,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-parure anneaux,bijoux,65.0,1,1,488,92.91122950819673,1,1.0,0.3004074895524537,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7689897267080171,0.9401631721268972,Priorite haute
a-boucles d'oreille filigrane,bijoux,70.0,1,1,488,92.91122950819673,1,1.0,0.24659268188440872,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.8021866440675334,0.9393230179948729,Priorite haute
a-accessoires cheveux,bijoux,110.0,1,1,488,92.91122950819673,1,1.0,0.18392577945995114,1.0,1.0,bijoux,0.98,True,0.8390456193049876,0.8446475423959017,0.9389460629112913,Priorite haute
a-collier plume,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-collier poisson,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-collier poisson doré,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-boucles stylisées,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-boucles d'oreille argent,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-bague crayons,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-collier papillon,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-collier laine chechias,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
a-collier kholkhal fashion,bijoux,60.0,1,1,488,92.91122950819673,1,1.0,0.3542222972204987,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.7384312029512957,0.938635245939061,Priorite haute
