productPK,product,productCode,categoryFK,startDate,endDate,flag
100,Bonbonniére en verre craquelé + Cuivre,BVC-001,525,2026-04-21 19:46:07.898,,y
101,Bonbonnière Verre + Cuivre 1,BON-001,525,2026-04-21 19:46:07.898,,y
102,Bonbonnière Verre + Cuivre 2,BON-002,525,2026-04-21 19:46:07.898,,y
103,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.898,,y
104,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.898,,y
105,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.898,,y
106,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.898,,y
107,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.900,,y
108,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.900,,y
109,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.900,,y
110,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.900,,y
111,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
112,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
113,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
114,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
115,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
116,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
117,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
118,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
119,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
120,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
121,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
122,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
123,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
124,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
125,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
126,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
127,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.902,,y
128,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.902,,y
129,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
130,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
131,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
132,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
133,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
134,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
135,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
136,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
137,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
138,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
139,Coffret Mathred + Lance Parfum + Chapelet,CMM,525,2026-04-21 19:46:07.903,,y
140,Stylos LilasDream,STL,525,2026-04-21 19:46:07.903,,y
141,Photophore Sidi Bousaid T1,Ph-T1,525,2026-04-21 19:46:07.903,,y
142,Photophore Sidi Bousaid T2,Ph-T2,525,2026-04-21 19:46:07.903,,y
143,Photophore Sidi Bousaid T3,Ph-T3,525,2026-04-21 19:46:07.903,,y
144,Photophore Sidi Bousaid T4,Ph-T4,525,2026-04-21 19:46:07.903,,y
145,Trio Bougies Sidi Bousaid,TB-01,525,2026-04-21 19:46:07.903,,y
146,Thermos à paille,TP-001,525,2026-04-21 19:46:07.903,,y
147,Personnalisation,Pers-1,525,2026-04-21 19:46:07.903,,y
148,Tote Bag personnalisé,TOT-001,525,2026-04-21 19:46:07.903,,y
149,Bonbonniére en verre craquelé + Cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
150,Bonbonnière Verre + Cuivre 1,BON-001,525,2026-04-21 19:46:07.903,,y
151,Bonbonnière Verre + Cuivre 2,BON-002,525,2026-04-21 19:46:07.903,,y
152,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
153,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.903,,y
154,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
155,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
156,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
157,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.904,,y
158,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
159,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.904,,y
160,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
161,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
162,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
163,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
164,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
165,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
166,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
167,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
168,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
169,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
170,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
171,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
172,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
173,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
174,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
175,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
176,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
177,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.904,,y
178,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
179,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
180,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
181,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
182,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.904,,y
183,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
184,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
185,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
186,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
187,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
188,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.905,,y
189,Coffret Mathred + Lance Parfum + Chapelet,CMM,525,2026-04-21 19:46:07.905,,y
190,Stylos LilasDream,STL,525,2026-04-21 19:46:07.905,,y
191,Photophore Sidi Bousaid T1,Ph-T1,525,2026-04-21 19:46:07.905,,y
