FactVentePK,dateFK,documentFK,channelFK,customerFK,productFK,price,quantity,remise,total_ht,tva,timbre,total_ttc,startDate,endDate,flag
127,20251123,578,4,122,6599,30,3,0,0,0,0,90,2026-03-24 22:55:56.665,,y
128,20251121,579,4,123,6588,34,1,0,0,0,0,124,2026-03-24 22:55:56.665,,y
129,20251121,579,4,123,6578,90,2,0,0,0,0,124,2026-03-24 22:55:56.665,,y
130,20251120,580,4,124,6610,80,1,0,0,0,0,80,2026-03-24 22:55:56.665,,y
131,20251120,581,4,125,6580,25,1,0,0,0,0,84,2026-03-24 22:55:56.665,,y
132,20251120,581,4,125,6584,25,2,0,0,0,0,84,2026-03-24 22:55:56.665,,y
133,20251120,581,4,125,6588,34,3,0,0,0,0,84,2026-03-24 22:55:56.665,,y
134,20251117,582,4,126,6601,20,1,0,0,0,0,104,2026-03-24 22:55:56.665,,y
135,20251117,582,4,126,6582,25,2,0,0,0,0,104,2026-03-24 22:55:56.665,,y
136,20251117,582,4,126,6580,25,3,0,0,0,0,104,2026-03-24 22:55:56.665,,y
137,20251117,582,4,126,6588,34,4,0,0,0,0,104,2026-03-24 22:55:56.665,,y
138,20251117,583,4,127,6575,50,1,0,0,0,0,100,2026-03-24 22:55:56.665,,y
139,20251114,584,4,128,6590,49.9,1,0,0,0,0,99.9,2026-03-24 22:55:56.665,,y
140,20251114,584,4,128,6584,25,2,0,0,0,0,99.9,2026-03-24 22:55:56.668,,y
141,20251114,584,4,128,6580,25,3,0,0,0,0,99.9,2026-03-24 22:55:56.668,,y
142,20251114,585,4,129,6577,30,1,0,0,0,0,100,2026-03-24 22:55:56.668,,y
143,20251114,585,4,129,6597,25,2,0,0,0,0,100,2026-03-24 22:55:56.668,,y
144,20251114,585,4,129,6604,45,3,0,0,0,0,100,2026-03-24 22:55:56.668,,y
145,20251114,586,4,130,6616,46,1,0,0,0,0,96,2026-03-24 22:55:56.668,,y
146,20251114,586,4,130,6617,50,2,0,0,0,0,96,2026-03-24 22:55:56.668,,y
147,20251112,587,4,131,6584,25,1,0,0,0,0,80,2026-03-24 22:55:56.668,,y
148,20251112,587,4,131,6618,30,2,0,0,0,0,80,2026-03-24 22:55:56.668,,y
149,20251112,587,4,131,6580,25,3,0,0,0,0,80,2026-03-24 22:55:56.668,,y
