supplierFK,productFK,documentFK,dateFK,quantity,price,remise,total_ht,tva,timbre
67,6307,1417,20250205,5,26.891,0,134.455,19.0,1
67,6307,1417,20250205,5,25.211,0,126.055,19.0,1
67,6307,1417,20250205,5,29.412,0,147.06,19.0,1
20,6307,1418,20250211,4,3.5,0,14.0,2.66,1
20,6307,1419,20250227,1000,0.13,0,130.0,24.7,1
120,6307,1420,20250131,20,12,0,240.0,0,1
120,6307,1420,20250131,10,27,0,270.0,0,1
120,6307,1421,20250213,10,12,0,120.0,0,1
120,6307,1421,20250213,5,27,0,135.0,0,1
120,6307,1422,20250506,20,12,0,240.0,0,1
120,6307,1422,20251127,3,12,0,36.0,0,0
120,6307,1422,20251127,5,8,0,40.0,0,0
120,6307,1422,20251127,3,8,0,24.0,0,0
120,6307,1422,20250815,5,8,0,40.0,0,0
120,6307,1422,20250815,5,4,0,20.0,0,0
120,6307,1423,20250422,15,27,0,405.0,0,1
120,6307,1422,20250814,4,45,0,180.0,0,0
120,6307,1422,20250814,63,15,0,945.0,0,0
120,6307,1422,20250826,5,9,0,45.0,0,0
120,6307,1422,20250826,5,9,0,45.0,0,0
120,6307,1422,20250826,5,9,0,45.0,0,0
120,6307,1422,20250826,5,12,0,60.0,0,0
120,6307,1422,20250826,5,12,0,60.0,0,0
120,6307,1422,20250826,5,9,0,45.0,0,0
120,6307,1422,20250826,5,12,0,60.0,0,0
120,6307,1422,20250826,15,15,0,225.0,0,0
120,6307,1424,20251027,10,0,0,0.0,0,0
120,6307,1424,20251027,5,0,0,0.0,0,0
120,6307,1424,20251027,3,0,0,0.0,0,0
120,6307,1424,20251027,2,0,0,0.0,0,0
0,6476,1425,20251118,1500,0.450,0,675.0,19%,1.000
0,6477,1425,20251118,1500,0.450,0,675.0,19%,1.000
0,6478,1426,20241121,1,18.900,0,18.9,19%,1.000
0,6479,1426,20241121,1,11.800,0,11.8,19%,1.000
0,6480,1426,20241121,1,17.800,0,17.8,19%,1.000
0,6481,1426,20241121,1,16.900,0,16.9,19%,1.000
0,6478,1427,20241114,500,18.000,0,9000.0,19%,1.000
0,6478,1428,20241223,10,18.900,0,189.0,19%,1.000
9,6307,0,20230406,0,0,0,"500,5",0,0
9,6307,0,20230610,0,0,0,"812,4",0,0
9,6307,0,20230712,0,0,0,"799,385",0,0
9,6307,0,20230803,0,0,0,"666,112",0,0
