Fact_financePK,DateFK,CustomerFK,SupplierFk,DocumentFK,Total_HT,Total_TTC
222,20270707,0,117,1401,13,14.91
223,20270208,0,117,1402,27.5,30.43
224,20270208,0,117,1402,27.5,30.43
225,20270208,0,117,1402,27.5,30.43
226,20270208,0,117,1402,27.5,30.43
227,20270708,0,117,1403,13,14.91
228,20270708,0,117,1403,13,14.91
229,20270708,0,117,1403,13,14.91
230,20270708,0,117,1403,13,14.91
231,20251009,0,117,1404,19.5,21.87
232,20251009,0,117,1404,19.5,21.87
233,20251009,0,117,1404,19.5,21.87
234,20260310,0,117,1405,13,14.91
235,20260310,0,117,1405,13,14.91
236,20270710,0,117,1406,6.5,7.96
237,20251111,0,117,1407,13,14.91
238,20251111,0,117,1407,13,14.91
239,20260412,0,117,1408,7,8.49
240,20250811,0,84,1409,325,391.618
241,20251106,0,84,1410,325,391.618
242,20250718,0,118,1411,24.075,29.649
243,20250718,0,118,1411,24.075,29.649
244,20250228,0,119,1412,294.956,365
245,20250331,0,119,1413,191.236,237
246,20250531,0,119,1414,136.133,169
247,20250430,0,119,1415,186.372,231
248,20250221,0,67,1416,332.8,400.992
249,20250205,0,67,1417,168.07,1946.013
250,20250205,0,67,1417,420.17,1946.013
251,20250205,0,67,1417,546.22,1946.013
252,20250205,0,67,1417,92.435,1946.013
253,20250205,0,67,1417,134.455,1946.013
254,20250205,0,67,1417,126.055,1946.013
255,20250205,0,67,1417,147.06,1946.013
256,20250211,0,68,1418,14,17.66
257,20250227,0,68,1419,130,155.7
258,20250131,0,120,1420,510,511
259,20250131,0,120,1420,510,511
260,20250213,0,120,1421,255,256
261,20250213,0,120,1421,255,256
262,20250506,0,120,1422,240,241
263,20251127,0,120,1422,100,100
264,20251127,0,120,1422,100,100
265,20251127,0,120,1422,100,100
266,20250815,0,120,1422,60,60
267,20250815,0,120,1422,60,60
268,20250422,0,120,1423,405,406
269,20250814,0,120,1422,1125,1125
270,20250814,0,120,1422,1125,1125
271,20250826,0,120,1422,565,565
272,20250826,0,120,1422,565,565
