"FactShippingPK","dateFK","productFK","customerFK","documentFK","quantity","productPrice","total","deliveryPrice","startDate","endDate","flag"
1057,20250505,6604,327,1176,"1","45","115","8","2026-03-24 20:20:42.339",NULL,"y"
1058,20250505,6651,327,1176,"2","25","115","8","2026-03-24 20:20:42.339",NULL,"y"
1059,20250505,6656,327,1176,"3","45","115","8","2026-03-24 20:20:42.339",NULL,"y"
1060,20250503,6651,328,1177,"1","25","99,9","8","2026-03-24 20:20:42.339",NULL,"y"
1061,20250503,6644,328,1177,"2","49,9","99,9","8","2026-03-24 20:20:42.339",NULL,"y"
1062,20250430,6690,329,1178,"1","115","150","0","2026-03-24 20:20:42.339",NULL,"y"
1063,20250430,6657,329,1178,"2","35","150","0","2026-03-24 20:20:42.339",NULL,"y"
1064,20250426,6643,330,1179,"1","50","100","8","2026-03-24 20:20:42.339",NULL,"y"
1065,20250426,6651,330,1179,"2","25","100","8","2026-03-24 20:20:42.339",NULL,"y"
1066,20250424,6638,331,1180,"1","45","90","8","2026-03-24 20:20:42.339",NULL,"y"
1067,20250424,6656,331,1180,"2","45","90","8","2026-03-24 20:20:42.339",NULL,"y"
1068,20250424,6578,332,1181,"1","90","90","8","2026-03-24 20:20:42.339",NULL,"y"
1069,20250424,6577,333,1182,"1","25","60","8","2026-03-24 20:20:42.339",NULL,"y"
1070,20250424,6657,333,1182,"2","35","60","8","2026-03-24 20:20:42.339",NULL,"y"
1071,20250423,6651,334,1183,"1","25","85","8","2026-03-24 20:20:42.339",NULL,"y"
1072,20250423,6656,334,1183,"2","45","85","8","2026-03-24 20:20:42.339",NULL,"y"
1073,20250423,6649,334,1183,"3","15","85","8","2026-03-24 20:20:42.339",NULL,"y"
1074,20250423,6691,335,1184,"1","92","92","8","2026-03-24 20:20:42.339",NULL,"y"
1075,20250422,6651,336,1185,"1","25","100","8","2026-03-24 20:20:42.339",NULL,"y"
1076,20250422,6638,337,1186,"1","45","160","0","2026-03-24 20:20:42.339",NULL,"y"
1077,20250422,6692,337,1186,"2","115","160","0","2026-03-24 20:20:42.339",NULL,"y"
1078,20250421,6651,338,1187,"1","25","95","8","2026-03-24 20:20:42.339",NULL,"y"
1079,20250421,6656,338,1187,"2","45","95","8","2026-03-24 20:20:42.339",NULL,"y"
1080,20250417,6671,339,1188,"1","86","86","8","2026-03-24 20:20:42.339",NULL,"y"
1081,20250417,6587,340,1189,"1","30","95","8","2026-03-24 20:20:42.341",NULL,"y"
1082,20250417,6538,340,1189,"2","65","95","8","2026-03-24 20:20:42.341",NULL,"y"
1083,20250416,6651,341,1190,"1","25","154","0","2026-03-24 20:20:42.341",NULL,"y"
1084,20250416,6693,341,1190,"2","129","154","0","2026-03-24 20:20:42.341",NULL,"y"
1085,20250416,6586,342,1191,"1","48","91","8","2026-03-24 20:20:42.341",NULL,"y"
1086,20250416,6651,342,1191,"2","25","91","8","2026-03-24 20:20:42.341",NULL,"y"
1087,20250416,6665,342,1191,"3","18","91","8","2026-03-24 20:20:42.341",NULL,"y"
1088,20250415,6538,343,1192,"1","65","65","8","2026-03-24 20:20:42.341",NULL,"y"
1089,20250412,6598,344,1193,"1","75","120","0","2026-03-24 20:20:42.341",NULL,"y"
1090,20250412,6694,344,1193,"2","15","120","0","2026-03-24 20:20:42.341",NULL,"y"
1091,20250411,6651,345,1194,"1","25","100","8","2026-03-24 20:20:42.341",NULL,"y"
1092,20250411,6630,345,1194,"2","50","100","8","2026-03-24 20:20:42.341",NULL,"y"
1093,20250411,6695,346,1195,"1","86","86","8","2026-03-24 20:20:42.341",NULL,"y"
1094,20250409,6651,347,1196,"1","25","100","8","2026-03-24 20:20:42.341",NULL,"y"
1095,20250409,6630,347,1196,"2","50","100","8","2026-03-24 20:20:42.341",NULL,"y"
1096,20250409,6538,348,1197,"1","65","267","0","2026-03-24 20:20:42.341",NULL,"y"
1097,20250409,6539,348,1197,"2","58","267","0","2026-03-24 20:20:42.341",NULL,"y"
1098,20250409,6540,348,1197,"3","48","267","0","2026-03-24 20:20:42.341",NULL,"y"
1099,20250409,6586,348,1197,"4","48","267","0","2026-03-24 20:20:42.341",NULL,"y"
1100,20250409,6643,349,1198,"1","50","100","8","2026-03-24 20:20:42.341",NULL,"y"
1101,20250409,6630,349,1198,"2","50","100","8","2026-03-24 20:20:42.341",NULL,"y"
1102,20250408,6696,350,1199,"1","20","80","8","2026-03-24 20:20:42.341",NULL,"y"
1103,20250408,6647,350,1199,"2","30","80","8","2026-03-24 20:20:42.341",NULL,"y"
1104,20250403,6605,351,1200,"1","50","50","8","2026-03-24 20:20:42.341",NULL,"y"
1105,20250402,6697,352,1201,"1","129","129","8","2026-03-24 20:20:42.341",NULL,"y"
1106,20250402,6646,353,1202,"1","45","95","8","2026-03-24 20:20:42.341",NULL,"y"
1107,20250402,6575,353,1202,"2","50","95","8","2026-03-24 20:20:42.341",NULL,"y"
1108,20250331,6605,354,1203,"1","50","50","8","2026-03-24 20:20:42.341",NULL,"y"
1109,20250331,6605,355,1205,"1","50","50","8","2026-03-24 20:20:42.341",NULL,"y"
